wealth_quintile,year,0,1,2,3
Middle,2015,5.057745917960972,9.518120270808444,61.569095977698126,23.855037833532457
Middle,2024,45.819397993311036,4.51505016722408,49.66555183946488,0.0
Poorer,2015,4.677716390423573,9.94475138121547,60.58931860036832,24.788213627992633
Poorer,2024,44.122516556291394,6.3741721854304645,49.503311258278146,0.0
Poorest,2015,4.083845319840982,11.637152150343331,61.61908203830863,22.659920491507044
Poorest,2024,43.5494433529797,6.221349050425671,50.22920759659463,0.0
Richer,2015,8.247011952191235,7.768924302788845,60.199203187250994,23.784860557768926
Richer,2024,44.84096198603569,4.577191621411948,50.581846392552364,0.0
Richest,2015,13.29639889196676,4.629996042738425,56.232686980609415,25.8409180846854
Richest,2024,53.17679558011049,3.522099447513812,43.30110497237569,0.0
