education,year,0,1,2,3
Higher,2015,22.950819672131146,2.0491803278688523,44.26229508196721,30.737704918032787
Higher,2024,69.47368421052632,2.631578947368421,27.89473684210526,0.0
No education,2015,3.562005277044855,12.796833773087071,60.94986807387863,22.691292875989447
No education,2024,40.04683840749414,7.494145199063232,52.459016393442624,0.0
Primary,2015,5.752003771805752,9.453088165959453,60.27817067421027,24.516737388024517
Primary,2024,45.31180893409996,5.086245024325519,49.60194604157452,0.0
Secondary,2015,11.198851399856425,5.096913137114142,60.37329504666188,23.33094041636755
Secondary,2024,49.27211646136618,4.311310190369541,46.41657334826428,0.0
