residence,year,0,1,2,3
Rural,2015,5.727281165877657,9.663046505151767,60.22463566323215,24.38503666573842
Rural,2024,45.56602097032167,5.3669806291096505,49.066998400568686,0.0
Urban,2015,12.981834293309703,4.519273371732388,59.37084625609216,23.12804607886575
Urban,2024,51.463790446841294,3.2357473035439135,45.300462249614796,0.0
