cluster_2015,prevalence_2015,prevalence_2024,label_2015,abs_change,rel_change_pct
0,6.983883346124328,4.9675090252707585,High facility + postnatal care,-2.0163743208535694,-28.9
1,8.772064466615502,0.0,Minimal utilisation,-8.772064466615502,-100.0
2,60.076745970836534,48.36101083032491,Late/inadequate ANC but facility delivery,-11.715735140511626,-19.5
3,24.167306216423636,46.671480144404335,High facility + postnatal care,22.5041739279807,93.1
