cluster,n,pct,adequate_anc,anc_visits,caesarean,early_anc,facility_delivery,first_anc_month,optimal_anc,pnc_received,skilled_anc,skilled_delivery,told_complications,label
0,3232,46.67,1.0,5.2305,0.1358,0.9923,1.0,2.3818,0.0622,0.4561,1.0,1.0,0.2577,High coverage across continuum
1,344,4.97,0.5872,3.8924,0.0523,0.5494,0.5087,3.4157,0.0058,0.3605,0.686,0.407,0.2093,"Adequate ANC, limited skilled delivery"
2,3349,48.36,0.3526,3.2684,0.1006,0.1747,1.0,4.2535,0.0,0.4162,1.0,1.0,0.2419,Late/inadequate ANC but facility delivery
